Cliente;NIT;DISTRIBUIDOR
1010000003;8000212736;GRUPO EMPRESARIAL BUIMON LTDA.
1010000016;8002487789;LATCOM LATINOAMERICANA DE COMUNICAC
1010000018;8002494012;INT. DE CELULARES SA. ICELL
1010000020;8002527293;SU CELULAR LTDA
1010000056;8020067828;DISTRIB. RP CELL  PROV
1010000067;8040069330;CELULARES Y TELECOMUNICACIONES CELT
1010000072;8070062651;TELEORIENTE LTDA
1010000074;8070091433;FRONTERA CELULAR S.A.S.
1010000088;8050268238;NEXTCOM
1010000095;8110427443;CABLE YARUMO S.A.S.
1010000098;8110471540;GEDIMA LTDA
1010000109;8190056771;COMTEL S.A.S.
1010000110;8190057785;COSMOCELL LTDA
1010000113;8190068749;COMUNICACIONES DEL SUR LTDA
1010000116;8170025305;PACIFIC CELL LTDA
1010000129;8140002911;LESSA SAS
1010000134;8260010169;MELTEC DE ORIENTE LTDA
1010000138;8260025354;NE&TEL.COM SAS
1010000141;8230043632;CELUTEL S.A.S.
1010000143;8280020906;JESMAR COMUNICACIONES
1010000145;8240017097;SUPERCEL EU
1010000148;8240040656;DANCELL LTDA
1010000174;8301164501;COMUNICACIONES GLOBALES DE COLOMBIA
1010000177;8300924165;AQUÍ LLAMAS
1010000181;8300938503;SINGULAR COMUNICACIONES S A SINGUL
1010000184;8320109273;COMUNICACION MOVIL S.A. COMOVIL S.A
1010000189;8301326141;CEL UNION LTDA
1010000190;8301450573;KEOPS COMUNICACIONES SAS
1010000192;8301418746;AMAZONIA.COM LTDA
1010000199;8340015904;POSGIR LTDA.
1010000200;8600914177;ALZATE ECHEVERRI Y CIA. LTDA.
1010000210;9000387132;GRUPO CELULAR MOVIL GCM S.A.S.
1010000214;9000525245;IMPRECOM TELECOMUNICACIONES LT
1010000217;9000327681;SIVE DE COLOMBIA LTDA.
1010000219;9000441722;JANN CELPHONE LTDA
1010000221;9000350149;ACAPULCO COMUNICACIONES S.A.S.
1010000224;9000462705;CELLSHOP COLOMBIA LTDA
1010000225;9000175333;SUPER BOUTIQUE COMUNICACIONES S.A.
1010000227;9000236859;INVERSIONES GERA SAS
